,0,1,2,3,4,5,6
118,89.4,89.57,-0.28,1.55,8029.39,8004.36,93.11
119,89.44,88.8,-0.87,0.92,7891.68,8007.67,95.03
120,88.42,90.14,0.92,2.3,8131.0,7828.57,92.5
121,88.92,93.54,0.5,1.09,8752.44,7918.75,93.28
122,87.49,89.38,-0.51,-1.47,7991.36,,
123,86.57,88.08,-1.75,1.38,7761.77,7504.22,92.91
124,88.6,90.98,-0.28,0.58,8283.2,7859.41,93.62
125,90.34,93.13,-0.95,0.54,8675.22,8174.45,90.98
126,88.27,92.95,1.36,0.51,8643.78,7802.44,94.7
127,87.79,99.4,0.6,-0.49,9885.56,,
128,87.24,91.73,1.63,1.71,8416.84,7621.57,94.36
129,89.7,91.17,1.56,0.97,8316.71,8054.25,96.33
130,87.4,97.34,3.08,1.43,9478.29,7653.69,94.43
131,88.51,86.06,1.83,4.03,7409.64,7842.59,94.46
132,87.94,92.91,2.68,0.26,8637.0,7744.98,95.36
133,89.11,93.43,-0.26,-1.24,8734.03,,
134,89.62,95.76,-0.08,-0.04,9173.33,,
135,88.22,85.64,0.54,-0.27,7340.64,,
136,87.35,96.46,-0.43,1.48,9309.61,7639.5,93.16
137,87.9,84.64,-0.56,0.73,7168.95,7734.36,91.62
138,89.26,88.29,-0.86,0.01,7803.29,7973.88,94.8
139,88.61,89.66,0.52,-0.52,8045.75,,
140,89.12,89.96,-0.94,1.36,8097.61,7949.91,94.6
141,88.1,91.06,1.56,1.97,8298.82,7769.67,93.05
142,88.97,91.43,0.33,-0.11,8363.67,,
143,91.51,92.64,-0.47,0.1,8585.8,8380.27,98.57
144,88.92,98.04,-1.55,0.39,9619.4,7918.25,97.12
145,89.01,85.36,2.2,0.94,7294.32,7931.67,94.4
146,88.75,88.8,1.23,0.63,7888.71,7890.55,93.17
147,87.64,90.19,1.1,3.36,8137.7,7692.02,90.45
148,86.91,90.79,0.74,1.4,8246.06,7561.87,92.16
149,89.06,95.33,-0.05,0.43,9091.61,7938.08,98.59
150,88.47,86.19,0.42,0.57,7436.46,7839.62,88.99
151,88.17,88.38,1.94,1.86,7814.28,7782.19,96.54
152,87.96,86.58,2.08,2.93,7501.06,7746.85,93.19
153,88.36,97.92,-0.63,0.96,9594.04,7814.42,92.44
154,87.78,87.52,0.37,0.47,7665.43,7713.63,94.36
155,87.98,93.61,0.56,1.06,8771.7,7750.8,92.33
156,88.73,84.65,1.14,1.37,7166.62,7881.16,93.97
157,88.08,94.02,0.96,0.02,8841.81,7765.11,91.13
158,89.17,93.2,-0.0,-1.09,8688.09,,
159,87.53,83.94,0.23,0.7,7051.54,7670.25,89.7
160,87.12,97.8,-0.34,0.55,9571.35,7602.11,89.3
161,88.04,85.11,2.37,1.09,7252.32,7763.29,92.16
162,88.46,92.04,0.52,2.5,8479.32,7833.53,91.18
163,87.53,91.8,0.72,0.31,8432.9,7673.63,94.2
164,87.23,90.41,0.36,-0.37,8180.18,,
165,88.72,94.82,-0.25,1.11,8997.2,7876.46,92.73
166,88.76,84.93,1.86,3.02,7216.41,7889.05,92.59
167,87.95,89.19,1.86,0.16,7962.79,7743.65,93.97
168,88.57,92.02,0.97,0.16,8470.7,7852.8,93.99
169,87.67,88.76,0.76,1.17,7885.21,7699.13,92.18
170,88.3,92.41,1.3,0.1,8543.31,7802.36,92.99
171,88.49,88.85,0.8,1.74,7902.59,7840.32,94.77
172,90.31,87.93,-0.19,0.32,7735.45,8165.74,95.11
173,88.4,95.43,1.63,1.46,9110.54,7824.71,93.21
174,86.35,95.6,0.31,2.06,9145.07,7464.5,88.32
175,89.26,92.85,-0.63,0.47,8625.3,7977.39,90.15
176,87.71,90.88,1.83,0.76,8264.14,7702.09,91.94
177,88.55,92.35,3.53,0.72,8536.32,7852.7,92.38
178,88.81,96.6,0.35,-0.23,9336.23,,
179,89.1,86.46,0.67,2.93,7479.57,7948.76,93.74
180,87.44,90.25,1.36,3.14,8148.37,7655.57,90.64
181,88.02,93.47,1.07,0.89,8744.59,7759.31,92.29
182,88.96,97.9,-2.69,-0.43,9588.51,,
183,87.62,92.33,2.04,1.62,8532.51,7689.26,93.94
184,87.01,95.51,-0.65,1.58,9126.83,7582.66,87.96
185,88.94,96.68,1.97,0.52,9353.0,7919.28,93.04
186,87.95,87.67,0.22,2.8,7690.47,7748.87,93.59
187,88.08,88.82,1.36,0.59,7894.55,7765.72,92.24
188,89.02,86.25,1.95,0.81,7442.18,7932.81,93.9
189,87.03,90.95,-0.86,1.38,8279.0,7581.62,92.46
190,89.52,88.04,-0.88,1.61,7756.84,8026.16,93.38
191,86.21,88.18,-0.42,0.79,7784.07,7439.67,92.49
192,86.6,86.81,-0.41,1.5,7539.73,7504.5,93.2
193,86.83,96.69,0.85,0.9,9356.27,7549.47,89.37
194,87.95,93.12,1.99,1.29,8679.65,7746.81,90.68
195,88.17,90.05,0.08,-1.33,8113.31,,
196,87.28,89.62,1.1,1.02,8038.03,7627.04,89.07
197,86.47,93.29,-1.39,1.01,8707.6,7490.97,90.66
198,87.76,98.42,-0.54,-0.04,9689.8,,
199,88.94,89.64,-0.73,1.76,8038.66,7918.75,90.01
200,88.67,87.76,0.02,1.19,7706.14,7872.45,93.03
201,87.05,79.97,1.6,0.29,6399.95,7583.99,92.56
202,86.7,94.13,2.16,-0.73,8866.3,,
203,88.31,87.42,-0.92,2.51,7644.53,7807.68,91.14
204,88.83,85.73,1.34,1.67,7355.06,7904.21,94.01
205,89.2,94.83,0.65,1.61,8999.05,7968.38,93.47
206,89.03,102.16,0.64,1.66,10441.88,7934.25,95.03
207,87.42,95.36,0.47,0.72,9098.68,7649.93,93.49
208,89.41,91.65,0.15,0.82,8406.56,8004.25,90.86
209,88.72,90.99,0.36,1.14,8283.14,7882.64,94.07
210,87.33,85.05,0.21,-0.47,7239.87,,
211,89.47,94.56,-1.93,1.14,8948.4,8015.9,92.69
212,85.77,97.97,0.05,-0.13,9600.5,,
213,86.98,90.61,-0.37,1.86,8214.62,7575.92,90.59
214,87.58,91.76,2.33,2.01,8423.54,7683.43,91.74
215,85.98,92.12,-0.39,-0.84,8487.34,,
216,86.44,87.99,-0.76,0.01,7746.31,7470.63,91.01
217,89.02,78.73,-0.43,0.08,6204.56,7932.84,90.93
218,88.69,87.98,1.63,1.21,7745.93,7877.32,92.31
219,86.83,93.2,0.4,0.78,8690.88,7550.65,93.2
220,88.87,96.46,1.35,0.82,9308.99,7905.08,94.13
221,87.85,89.29,1.44,0.86,7976.71,7725.35,92.73
222,88.44,94.15,-0.91,0.02,8869.25,7831.8,90.71
223,88.11,86.07,1.02,1.68,7411.42,7770.54,90.19
224,88.87,94.16,0.9,-0.69,8872.74,,
225,88.44,86.88,3.99,0.64,7550.59,7829.23,91.92
226,88.29,93.06,2.12,0.91,8666.05,7806.63,92.61
227,88.01,93.99,0.61,2.16,8838.82,7753.94,95.19
228,88.74,93.51,1.22,1.01,8752.73,7883.76,94.13
229,86.04,96.94,-0.33,0.65,9403.78,7408.74,89.59
230,86.78,89.25,2.14,2.07,7967.85,7540.15,90.12
231,88.14,96.26,0.16,1.26,9272.45,7782.92,94.27
232,87.54,94.63,-0.62,0.42,8959.92,7674.48,94.92
233,87.19,89.57,-0.65,0.78,8028.24,7610.21,88.32
234,87.68,90.52,1.57,0.59,8197.74,7698.0,90.26
235,86.79,91.92,-0.87,1.04,8453.25,7547.77,90.88
236,88.26,90.51,0.27,0.03,8195.03,7796.1,93.36
237,86.65,90.31,-0.11,2.08,8160.16,7518.46,88.73
238,88.37,85.36,0.8,2.58,7290.35,7821.21,92.23
239,86.97,95.66,0.63,1.55,9157.2,7574.83,91.85
240,86.54,93.92,1.63,0.72,8826.5,7496.71,93.43
241,89.09,88.64,-0.71,1.49,7859.38,7948.21,94.37
242,89.24,93.61,-0.05,-1.07,8767.37,,
243,89.63,100.45,0.18,0.8,10095.93,8040.75,92.14
244,88.28,90.51,0.17,0.36,8199.83,7799.2,91.38
245,89.06,85.73,0.34,2.46,7351.59,7944.6,92.33
246,86.01,100.0,0.75,1.36,10003.08,7405.56,89.65
247,86.77,90.9,0.75,1.64,8268.2,7539.58,90.12
248,87.91,89.37,1.13,3.15,7988.43,7738.23,90.85
249,86.76,95.4,-0.36,-0.57,9103.8,,
250,87.33,92.16,-1.52,1.95,8499.77,7638.12,90.46
251,87.85,91.24,2.79,1.95,8328.7,7725.02,87.47
252,87.57,99.4,1.95,2.91,9886.46,7677.77,93.85
253,88.86,90.31,0.26,0.35,8161.04,7907.04,93.01
254,88.65,87.59,0.71,0.07,7676.68,7866.22,94.9
255,89.47,78.63,-1.81,1.29,6188.76,8013.43,93.45
256,87.83,85.7,-0.31,1.84,7351.57,7730.21,94.24
257,88.27,84.88,0.9,-0.25,7209.63,,
258,88.14,94.09,3.0,1.92,8862.04,7774.88,93.39
259,87.54,91.75,1.61,2.44,8425.24,7673.96,91.03
260,89.33,91.58,-0.36,1.08,8388.18,7994.79,93.88
261,88.52,86.83,0.3,-0.24,7542.38,,
262,86.01,83.36,-0.57,1.2,6954.69,7409.93,93.32
263,87.31,93.21,1.32,1.73,8692.75,7634.75,92.37
264,86.78,86.23,-1.68,2.66,7443.16,7543.22,90.63
265,87.57,87.94,-0.41,1.55,7736.7,7678.25,93.57
266,87.83,92.12,0.71,1.03,8491.09,7724.37,92.6
267,87.27,81.31,0.41,-0.13,6615.89,,
268,87.09,87.0,-0.04,-0.68,7570.68,,
269,87.92,93.18,1.03,1.02,8688.91,7740.24,98.95
270,88.11,97.02,0.03,-0.18,9417.71,,
271,88.96,92.04,0.05,2.05,8475.37,7924.26,94.9
272,86.7,93.43,0.01,1.7,8732.05,7523.41,90.53
273,86.31,92.01,-0.98,0.11,8468.93,7460.81,91.05
274,89.66,91.73,-0.3,-0.03,8417.6,,
275,90.1,90.9,-2.43,2.05,8267.36,8130.46,92.44
276,88.05,89.91,1.71,2.05,8087.82,7764.41,93.46
277,87.44,86.52,2.11,1.12,7488.1,7657.51,88.16
278,90.03,96.42,-2.06,1.53,9301.65,8114.91,95.07
279,86.83,87.43,0.16,0.98,7651.14,7547.15,91.94
280,86.28,90.03,1.19,1.21,8108.5,7453.23,88.36
281,88.5,91.7,1.49,1.03,8413.01,7844.82,94.98
282,88.58,89.15,1.7,0.79,7953.77,7856.8,91.43
283,89.08,88.17,-0.39,1.95,7781.42,7946.46,95.32
284,86.31,94.49,-0.92,0.47,8931.23,7454.97,89.68
285,87.68,89.02,2.05,1.66,7929.62,7700.45,95.06
286,87.48,91.27,1.53,2.59,8337.5,7663.32,94.14
287,87.58,96.2,1.0,1.01,9258.99,7682.29,90.4
288,86.18,86.13,-0.44,-0.14,7420.83,,
289,88.79,87.57,1.09,0.49,7674.98,7891.89,95.02
290,87.22,89.22,0.44,-0.13,7967.92,,
291,87.69,87.07,-0.15,0.13,7585.01,7698.62,91.79
292,87.99,93.81,0.41,0.73,8804.95,7751.72,90.81
293,87.89,91.7,1.61,1.39,8413.41,7736.32,92.85
294,87.57,91.06,0.82,1.63,8298.26,7679.98,89.77
295,85.8,82.32,0.13,1.62,6781.59,7368.81,91.86
296,87.26,89.43,2.24,-1.4,8003.19,,
297,89.73,89.63,1.25,0.48,8038.23,8060.42,92.1
298,89.34,94.45,-0.96,1.73,8925.54,7993.99,92.06
299,87.8,96.16,1.83,2.34,9252.01,7722.07,92.91
300,87.74,98.28,0.92,0.89,9665.51,7708.58,90.16
301,86.5,89.0,-0.04,2.12,7928.07,7489.83,93.61
302,87.32,96.6,0.13,-0.58,9333.18,,
303,89.07,95.44,-2.05,0.47,9112.85,7941.81,91.14
304,87.95,88.87,1.32,3.18,7902.9,7745.56,92.22
305,86.91,91.07,1.07,-0.29,8297.61,,
306,88.08,95.0,-0.87,2.97,9027.87,7767.9,98.18
307,88.98,89.86,0.24,0.79,8080.02,7923.88,94.78
308,88.27,89.28,2.71,1.53,7974.83,7800.46,92.22
309,87.52,89.87,3.06,2.18,8082.2,7672.14,92.57
310,86.7,89.55,0.6,-0.36,8024.11,,
311,87.07,91.02,1.34,-1.03,8286.12,,
312,87.61,87.36,0.71,0.77,7635.49,7687.37,93.73
313,89.45,87.83,-0.85,-0.02,7721.5,,
314,89.34,90.44,0.64,-0.24,8182.58,,
315,88.09,86.52,1.3,0.33,7492.36,7767.82,89.66
316,86.48,85.54,-0.67,1.14,7322.1,7487.03,85.96
317,87.49,101.94,0.89,0.4,10396.54,7663.09,93.68
318,88.79,88.59,0.76,1.34,7854.92,7894.5,94.32
319,87.56,90.23,1.98,0.61,8146.81,7674.14,91.39
320,88.45,89.83,0.81,-0.48,8075.26,,
321,88.93,91.07,0.14,-0.89,8293.68,,
322,87.3,84.47,-0.28,0.44,7141.77,7630.66,89.93
323,88.32,91.97,0.04,0.61,8463.4,7808.23,95.36
324,87.63,96.15,1.12,0.5,9250.29,7690.06,92.78
325,86.57,91.81,-1.45,0.9,8435.14,7505.19,90.58
326,87.53,94.69,1.64,0.58,8968.25,7670.69,89.38
327,88.18,87.82,2.39,1.3,7718.84,7787.41,92.4
328,89.49,87.15,-0.13,0.58,7596.94,8019.41,93.39
329,87.56,91.67,1.51,1.35,8408.58,7676.06,93.52
330,89.02,87.77,2.33,2.0,7709.07,7934.33,96.87
331,90.58,92.43,0.01,-1.29,8545.11,,
332,86.98,96.71,-0.34,0.11,9356.93,7570.52,91.63
333,87.04,90.38,1.12,1.55,8170.81,7581.44,90.04
334,85.81,90.65,1.02,0.23,8222.21,7371.97,88.33
335,86.69,91.71,-0.01,1.14,8416.75,7527.68,89.86
336,88.42,92.75,0.78,2.3,8605.5,7828.29,92.25
337,89.24,89.36,-0.1,0.96,7989.29,7973.48,91.18
338,88.46,89.17,-1.88,1.0,7954.46,7837.63,91.88
339,88.35,86.68,0.2,1.34,7518.69,7815.68,93.59
340,88.92,98.82,0.96,2.64,9767.75,7918.07,92.19
341,88.13,91.69,0.85,2.75,8411.25,7781.99,93.92
342,89.78,97.09,-0.49,-0.04,9433.85,,
343,86.11,94.73,0.09,2.71,8977.89,7427.98,91.69
344,87.88,97.62,0.73,2.56,9533.54,7736.01,94.06
345,88.25,91.48,1.72,-0.24,8369.87,,
346,89.42,94.76,-0.09,-0.68,8983.19,,
347,88.26,89.15,0.63,0.81,7953.58,7799.09,94.9
348,87.7,89.43,0.99,2.24,8002.75,7701.32,91.17
349,86.47,93.97,1.86,-1.24,8833.76,,
350,86.34,95.34,0.99,0.75,9094.11,7463.06,91.95
351,87.61,88.95,0.95,1.42,7920.22,7684.24,89.93
352,88.32,93.4,0.46,3.06,8729.71,7810.71,92.47
353,86.89,91.01,0.65,-1.53,8286.15,,
354,87.46,90.22,1.37,1.58,8148.53,7660.71,93.34
355,90.27,84.91,-0.84,-0.19,7213.8,,
356,87.25,94.79,1.94,2.29,8989.77,7625.57,91.26
357,86.57,89.19,-1.03,0.2,7962.44,7503.87,91.08
358,87.45,89.48,0.67,1.25,8011.07,7659.69,92.15
359,87.95,84.62,1.8,1.02,7165.17,7746.5,94.96
360,87.84,96.4,1.1,0.96,9297.68,7728.94,92.76
361,90.11,90.45,0.88,-0.07,8186.58,,
362,88.77,84.13,-0.81,2.51,7081.75,7886.7,94.72
363,90.28,90.5,-0.83,0.94,8200.71,8161.5,92.77
364,87.95,90.3,1.04,1.04,8160.92,7744.81,93.77
365,88.23,88.72,1.94,0.37,7875.34,7797.08,88.72
366,89.56,101.58,0.45,0.0,10324.02,8025.15,96.05
367,88.07,96.94,1.85,2.4,9404.11,7767.82,94.98
368,87.27,96.88,1.63,0.54,9395.32,7628.58,88.27
369,87.46,94.0,-0.37,0.25,8842.12,7654.44,92.95
370,87.36,86.17,0.38,2.01,7429.59,7643.69,89.81
371,86.72,91.57,0.85,1.57,8392.76,7530.44,91.44
372,87.13,100.3,-0.73,0.25,10066.74,7601.48,91.95
373,89.42,97.9,-1.03,1.76,9590.36,8008.47,94.39
374,89.25,94.15,-0.13,0.06,8870.95,7972.94,94.56
375,85.89,87.97,-0.12,-1.09,7744.16,,
376,86.88,96.8,0.32,0.08,9373.51,7552.45,93.96
377,86.58,95.36,-1.05,1.56,9098.98,7506.36,92.79
378,87.63,86.36,0.77,1.65,7465.07,7690.68,94.95
379,86.61,88.89,0.45,-0.7,7902.24,,
380,86.95,93.31,0.9,0.91,8711.63,7573.51,91.17
381,88.66,96.2,-0.22,0.88,9262.13,7866.36,94.57
382,88.71,92.36,2.54,0.47,8539.35,7880.29,94.83
383,90.03,92.46,0.12,-1.16,8553.38,,
384,86.76,89.41,0.19,-1.3,7997.53,,
385,87.97,88.41,0.11,1.79,7823.36,7747.42,92.09
386,88.31,92.85,1.28,0.06,8625.59,7805.52,91.37
387,87.66,91.17,1.05,1.03,8315.62,7692.06,91.55
388,88.82,88.15,-0.59,2.0,7775.3,7897.61,91.68
389,87.66,90.67,2.08,1.58,8222.23,7693.33,90.22
390,86.52,91.95,-1.0,0.31,8460.94,7496.09,93.68
391,88.71,91.68,1.25,2.58,8410.5,7883.94,91.89
392,85.2,88.5,0.24,-0.6,7837.24,,
393,87.8,85.92,-0.24,-0.1,7386.78,,
394,87.28,95.66,0.63,-0.46,9151.46,,
395,88.46,91.82,0.32,0.39,8435.84,7833.56,91.63
396,89.21,87.56,0.64,0.3,7669.78,7966.84,93.38
397,87.81,94.93,1.05,0.25,9015.77,7722.09,90.63
398,87.54,90.37,-0.0,0.32,8171.59,7671.71,89.19
399,89.72,94.7,-1.52,2.55,8972.93,8060.7,93.69
400,88.8,96.0,-0.4,-0.79,9220.54,,
401,85.94,96.0,-1.14,0.43,9219.4,7391.31,89.55
402,88.53,93.91,0.01,-0.72,8824.08,,
403,88.2,92.39,0.53,0.19,8543.33,7787.01,91.85
404,88.87,91.0,1.53,0.87,8286.51,7909.23,93.89
405,89.04,86.29,1.08,-0.88,7449.09,,
406,88.4,90.62,1.98,2.3,8220.74,7825.26,92.33
407,86.23,84.9,0.74,0.64,7212.19,7443.96,87.22
408,87.88,95.24,0.75,1.72,9076.52,7734.04,89.63
409,87.17,94.35,0.47,1.93,8905.1,7608.6,90.3
410,87.82,94.25,-0.7,2.23,8887.05,7723.76,92.26
411,89.95,89.84,-0.46,2.38,8077.71,8100.54,95.34
412,89.58,91.69,-1.42,1.84,8412.06,8035.7,94.17
413,88.37,90.52,0.24,-0.08,8197.83,,
414,87.69,91.7,1.81,2.5,8414.31,7699.48,91.34
415,88.07,91.9,1.33,0.35,8449.63,7762.49,90.62
416,87.61,89.82,1.96,1.68,8074.28,7687.03,92.55
417,87.8,90.5,1.87,1.37,8191.63,7717.78,94.02
418,88.22,95.68,0.37,1.58,9161.02,7790.94,92.39
419,88.79,101.2,-0.61,0.63,10246.21,7898.63,96.15
420,88.57,88.75,1.75,2.17,7882.5,7853.83,92.93
421,85.71,92.28,2.54,-0.07,8517.67,,
422,88.18,90.1,1.31,-0.13,8119.82,,
423,88.87,90.48,1.07,2.12,8193.41,7909.25,94.43
424,88.65,95.93,0.25,-0.18,9206.74,,
425,89.14,94.0,0.26,1.8,8840.65,7959.95,95.38
426,86.61,93.7,2.69,2.92,8782.18,7513.85,92.48
427,86.99,81.99,0.23,0.85,6726.72,7570.4,91.74
428,88.43,86.28,2.67,2.61,7447.58,7830.17,91.8
429,87.89,91.2,-0.77,-0.78,8319.84,,
430,88.06,93.02,-0.51,0.29,8655.9,7763.07,91.04
431,89.03,91.2,0.15,-2.02,8321.96,,
432,88.05,87.37,2.94,2.47,7640.75,7762.67,93.18
433,86.92,95.62,0.44,1.93,9148.47,7565.22,94.57
434,88.12,96.5,0.3,0.85,9316.36,7771.66,92.33
435,88.16,89.18,0.94,0.94,7960.53,7784.62,91.51
436,87.49,87.41,-1.01,1.68,7645.2,7662.23,92.22
437,88.92,91.73,1.03,-0.82,8416.76,,
438,89.44,92.37,0.11,2.49,8537.17,8008.8,92.79
439,88.29,89.57,1.01,-0.67,8024.44,,
440,87.43,96.68,-1.39,1.72,9352.16,7655.24,94.86
441,88.05,98.61,2.19,0.75,9731.55,7762.73,91.15
442,87.26,90.34,2.24,-0.61,8163.81,,
443,87.34,94.0,2.44,2.17,8842.07,7638.97,91.18
444,88.93,93.44,-0.0,-1.65,8734.63,,
445,85.92,89.23,0.57,0.3,7964.03,7391.48,88.41
446,88.84,89.34,0.56,0.12,7987.24,7901.03,93.7
447,87.11,94.75,-0.31,0.64,8986.09,7595.73,92.46
