,0,1,2,3,4
170,63.8,64.75,0.34,4.28,-0.43
171,64.4,62.74,0.15,4.38,-0.48
172,66.06,67.36,0.45,4.8,1.12
173,64.97,64.65,-0.49,4.39,-1.47
174,65.36,65.96,-1.66,5.32,-1.86
175,64.41,53.48,1.81,4.11,-0.71
176,64.3,62.75,-1.18,3.83,-0.56
177,66.33,64.58,-0.3,4.92,-0.67
178,66.62,70.41,-1.29,5.97,-0.98
179,67.04,62.21,-1.3,4.19,0.27
180,65.2,62.38,-0.78,3.96,-0.68
181,64.9,66.94,-1.57,3.56,0.1
182,65.27,60.23,-0.48,3.84,-1.96
183,66.18,64.79,-1.36,5.68,-0.8
184,64.64,60.29,-0.41,4.55,-1.07
185,65.32,61.62,-2.65,3.94,0.59
186,65.6,63.08,-0.32,3.48,1.65
187,65.14,68.67,-0.16,5.2,-1.23
188,63.46,62.73,0.28,4.1,-0.19
189,65.92,72.41,-0.06,4.34,1.89
190,64.62,60.12,-1.97,4.32,-0.01
191,65.63,64.09,-2.07,4.67,0.19
192,64.8,70.96,-1.38,3.96,0.46
193,65.34,58.09,1.25,5.83,2.47
194,65.45,68.8,0.47,5.29,0.83
195,64.65,65.57,-0.85,3.56,-0.97
196,66.04,67.36,-1.22,4.56,-0.34
197,64.09,70.18,-1.7,5.73,-1.05
198,66.59,62.2,-1.43,3.34,-2.15
199,65.69,59.89,-0.97,4.57,0.64
200,64.62,64.95,1.28,3.82,1.04
201,64.95,58.97,-1.87,6.18,-1.48
202,63.45,65.36,0.38,3.68,-0.77
203,64.1,72.12,-0.31,5.08,0.39
204,66.13,60.78,-1.06,5.7,-1.81
205,66.0,65.08,-1.34,3.86,-3.0
206,67.09,61.69,0.87,4.29,-0.42
207,65.41,60.3,-1.76,4.78,-1.74
208,65.54,60.4,0.69,5.25,0.85
209,66.34,64.79,-1.03,3.53,-1.59
210,63.16,63.37,0.61,4.7,0.55
211,66.71,63.78,-0.12,2.76,0.63
212,65.75,67.63,-2.66,2.8,-1.85
213,65.37,67.95,-0.71,4.18,0.12
214,66.16,67.31,-1.66,4.0,-0.4
215,65.55,63.62,-1.11,3.26,0.11
216,66.34,60.42,0.36,5.78,0.73
217,65.35,57.83,1.23,6.3,2.96
218,63.51,62.13,0.45,3.75,0.34
219,64.0,63.59,-0.34,2.97,1.38
220,66.79,58.08,-1.91,5.35,-2.82
221,66.08,54.22,-2.31,3.81,-0.2
222,64.42,58.42,0.52,4.86,0.5
223,63.8,59.94,-0.66,3.97,-0.53
224,64.26,59.91,-0.45,3.32,-0.81
225,64.47,59.92,0.54,5.34,1.61
226,63.9,66.11,0.04,3.52,-1.15
227,65.76,65.58,1.9,2.89,1.27
228,63.58,62.69,1.95,4.01,1.69
229,66.1,62.33,-1.37,6.26,-0.12
230,65.01,62.71,-2.28,4.95,-0.1
231,66.05,62.35,-2.92,3.93,-0.09
232,66.05,63.1,-0.42,4.5,0.27
233,66.02,71.35,-1.12,4.3,1.55
234,65.39,62.13,-1.14,4.81,-1.88
235,64.9,70.58,1.1,3.99,2.79
236,66.65,57.89,-1.05,4.61,-2.27
237,64.32,59.22,-1.36,2.88,0.25
238,63.72,63.08,-0.56,4.4,-0.75
239,64.39,64.08,0.03,3.39,-0.03
240,66.2,62.35,-0.11,3.36,-0.51
241,63.91,65.2,0.16,2.45,1.26
242,64.53,66.29,-0.19,4.39,-1.85
243,65.23,67.37,-1.37,3.61,-0.01
244,65.06,59.16,-0.14,4.9,0.07
245,64.0,58.13,1.74,4.37,-0.79
246,65.9,58.03,-0.43,5.78,-0.12
247,64.58,63.45,-0.89,2.83,-0.55
248,64.74,63.35,-0.22,1.59,-0.02
249,67.91,62.18,0.48,4.13,1.99
250,64.2,62.21,1.0,4.57,1.28
251,66.59,55.49,-1.98,4.89,1.78
252,62.67,54.75,1.64,5.43,3.58
253,65.7,59.01,1.26,3.56,0.73
254,62.01,63.17,1.13,4.67,-0.09
255,66.12,63.16,-0.48,5.06,-0.24
256,65.8,58.38,-0.33,3.64,-0.84
257,63.61,62.02,2.14,6.32,0.17
258,65.08,58.85,1.26,3.26,-0.99
259,66.07,62.39,-1.14,5.11,-1.15
260,66.24,61.56,-1.89,4.82,-1.17
261,63.4,65.81,1.07,3.36,1.44
262,65.0,58.76,1.43,3.53,0.34
263,64.16,67.21,1.44,4.28,0.42
264,64.18,58.49,1.17,2.82,1.06
265,64.44,61.87,-1.55,5.59,1.17
266,64.33,58.82,-0.56,3.02,0.73
267,66.12,65.34,-0.14,3.0,0.64
268,66.0,65.11,0.81,4.98,-0.52
269,66.47,61.47,-0.02,4.56,0.19
270,64.72,62.92,-1.44,4.39,-0.67
271,63.38,56.3,1.98,5.15,3.08
272,64.06,61.93,1.48,3.95,-0.33
273,65.28,64.25,0.96,4.44,-0.74
274,66.09,61.13,-1.31,2.96,-1.7
275,65.43,65.15,-0.36,4.81,-2.52
276,64.83,63.77,-1.67,4.98,-2.6
277,64.6,65.32,0.15,5.49,-0.11
278,64.87,60.18,0.78,4.48,-0.31
279,64.65,64.32,-0.91,5.62,0.41
280,64.14,63.41,0.46,0.97,1.01
281,64.69,62.93,0.37,4.4,0.24
282,64.8,62.9,-0.96,2.8,-1.68
283,65.45,60.98,-0.44,6.62,0.46
284,62.99,65.33,1.02,4.3,0.35
285,64.98,64.58,-0.35,3.47,-0.66
286,63.52,64.71,0.87,4.95,2.54
287,64.63,70.85,0.36,5.99,1.56
288,64.88,60.47,0.24,3.75,2.32
289,67.07,65.76,-0.92,2.81,-0.46
290,64.96,57.44,-1.47,2.5,-0.94
291,64.98,65.46,-1.23,4.2,-0.47
292,65.79,58.9,-2.69,3.22,1.02
293,63.43,63.66,1.98,3.7,2.05
294,63.97,64.27,1.17,4.04,1.28
295,64.71,62.29,0.43,3.23,-0.24
296,65.84,65.56,-0.67,3.64,-1.19
297,64.47,61.66,-0.5,5.84,-1.43
298,64.41,63.92,-0.52,3.37,-0.67
299,65.48,62.83,-1.71,5.61,-2.04
300,64.93,64.75,-0.86,4.34,-2.23
301,63.49,58.11,-0.79,3.56,-0.84
302,65.22,68.2,1.19,7.34,-0.15
303,65.85,58.72,-0.75,4.37,-0.49
304,65.28,61.1,-0.42,4.62,-0.11
305,64.44,66.02,-1.59,3.85,-1.98
306,65.54,69.72,-2.29,5.06,0.91
307,65.28,67.59,-0.4,3.38,1.26
308,65.92,64.2,-1.96,2.93,-0.95
309,64.91,74.42,1.07,4.42,0.06
310,64.44,67.03,1.61,5.85,-0.12
311,65.63,58.44,-1.16,5.45,0.41
312,66.61,66.47,1.59,4.36,1.1
313,64.41,61.59,1.36,3.24,0.78
314,65.98,62.27,-1.67,3.4,-3.5
315,63.45,58.04,0.83,3.39,0.84
316,63.88,63.8,0.01,5.31,-2.44
317,67.16,61.78,-2.62,2.65,-1.4
318,65.38,66.29,0.44,4.07,1.18
319,65.33,65.76,-2.3,3.31,-2.32
320,64.46,60.44,-1.41,3.56,-0.85
321,65.13,60.08,-1.04,4.69,-2.15
322,65.23,61.11,-1.84,3.88,-1.79
323,65.41,64.79,-1.08,4.03,-0.32
324,65.16,59.95,-0.47,2.31,-0.18
325,64.85,70.55,-0.92,3.62,-0.36
326,62.71,67.64,0.82,4.09,2.3
327,64.84,62.11,0.16,3.74,0.26
328,65.09,57.03,-0.66,5.99,-0.93
329,63.57,62.46,1.01,4.9,-0.11
330,65.97,65.68,-0.78,4.66,0.23
331,64.11,60.22,-1.69,5.87,0.32
332,66.24,64.75,-0.94,3.97,-0.54
333,66.26,57.64,-0.85,3.74,-2.49
334,66.46,61.3,-1.31,4.24,-2.12
335,63.76,54.33,0.88,3.73,2.69
336,63.89,61.8,1.52,2.81,0.13
337,65.7,67.65,-0.83,3.66,-0.19
338,64.91,62.13,-0.83,3.91,-3.08
339,64.88,67.47,0.07,5.49,0.3
340,63.99,64.45,0.03,4.79,-0.3
341,65.4,59.28,-0.95,2.69,-0.05
342,64.14,56.34,-1.24,3.57,-2.34
343,64.62,64.96,1.33,4.43,1.31
344,64.66,67.41,-1.08,3.62,-3.07
345,66.47,64.0,-0.51,5.39,1.09
346,65.51,60.56,-1.25,3.37,-2.02
347,64.02,60.44,-0.08,4.04,1.26
348,64.87,65.27,0.49,4.58,1.08
349,63.1,66.39,0.63,5.01,-0.04
350,64.79,68.21,-0.76,5.57,1.11
351,64.73,63.98,-0.78,3.86,-1.31
352,63.72,53.22,2.17,3.31,3.25
353,62.48,59.93,1.73,5.21,1.08
354,65.68,64.34,-1.88,1.54,-1.88
355,65.73,66.1,-0.86,3.25,0.19
356,64.85,58.36,-0.67,4.68,-0.43
357,66.3,53.74,0.75,5.88,1.12
358,65.04,53.34,-1.7,4.6,-2.81
359,65.23,63.61,1.12,3.64,2.26
360,65.43,61.31,-0.39,3.28,-2.85
361,64.04,63.49,-0.63,3.85,-1.99
362,66.19,64.5,-0.68,6.36,-0.2
363,63.24,65.54,1.55,3.67,1.2
364,64.25,59.69,1.21,2.34,3.64
365,64.51,59.26,0.43,3.04,-0.05
366,65.33,67.31,-0.68,4.11,0.27
367,65.8,61.82,0.38,4.36,-0.9
368,65.79,68.89,-0.9,5.86,-2.94
369,65.58,63.28,-1.45,3.95,-2.15
370,65.79,67.87,-1.34,3.1,-1.64
371,64.77,63.61,-0.57,3.2,-2.71
372,65.71,61.82,-0.43,3.39,0.1
373,64.45,62.45,-0.04,4.72,0.57
374,63.82,59.83,0.01,3.52,-1.16
375,65.37,65.29,-0.29,3.6,0.89
376,65.96,62.21,0.29,4.05,0.47
377,65.53,69.95,-0.23,3.63,-0.16
378,65.75,66.56,-2.83,3.7,-0.93
379,65.31,61.27,-1.37,2.96,-0.07
380,64.4,64.76,-0.56,5.24,-0.84
381,67.16,64.68,2.04,6.14,3.3
382,63.8,63.85,-0.41,5.33,-1.46
383,66.24,61.49,-0.73,4.28,-0.77
384,65.56,57.82,0.5,4.94,0.05
385,64.16,65.46,0.62,2.69,0.27
386,64.61,62.05,-0.36,3.19,0.12
387,66.12,60.52,0.67,4.84,-0.12
388,65.91,62.84,-1.16,3.94,-0.06
389,66.24,56.09,-1.13,2.27,-0.21
390,65.84,59.38,-2.02,3.49,-0.82
391,63.89,62.31,0.37,4.42,0.87
392,66.17,59.82,-0.91,4.97,-2.08
393,64.82,62.27,1.09,4.07,0.32
394,64.88,66.17,0.63,3.35,0.84
395,63.66,63.65,1.29,6.39,0.83
396,64.21,63.76,2.49,3.27,2.88
397,64.33,60.81,1.2,4.15,-0.87
398,64.19,57.97,-0.42,3.58,-0.08
399,65.2,66.04,-2.04,4.97,-0.66
400,65.49,56.01,-2.08,3.58,-2.44
401,65.06,67.81,0.2,6.03,0.19
402,64.58,61.67,-1.02,2.41,-0.35
403,65.17,59.47,0.89,4.09,-0.16
404,64.94,66.4,-1.43,4.08,-1.43
405,65.48,63.13,-2.03,6.43,-0.52
406,64.32,61.75,-0.29,3.39,0.52
407,66.43,62.09,-0.48,4.99,-0.29
408,64.57,56.77,-0.76,2.85,-0.09
409,64.67,58.91,-1.08,4.67,-1.59
410,66.07,66.0,-1.86,4.47,-2.92
411,64.13,66.64,0.64,6.16,0.19
412,65.18,64.04,-2.03,4.65,2.33
413,65.18,64.0,-0.42,4.72,-2.16
414,64.88,58.2,0.27,2.18,-0.53
415,64.15,69.0,0.59,5.26,-0.77
416,65.35,65.67,-1.59,4.19,0.64
417,63.89,69.22,0.69,3.62,0.83
418,64.3,62.18,0.97,3.94,0.82
419,64.67,55.75,-0.56,3.9,-0.77
420,64.72,64.68,-1.05,4.57,-2.07
421,65.47,61.6,-1.69,4.81,-0.75
422,64.09,63.46,-1.23,3.64,-2.32
423,64.85,60.16,-0.59,5.67,-0.8
424,64.21,66.27,0.56,2.79,0.08
425,65.19,58.79,-2.01,3.27,-3.03
426,63.63,62.06,1.35,4.54,1.97
427,66.5,72.91,-0.64,3.15,0.92
428,65.21,60.2,0.2,5.09,0.76
429,65.41,61.84,-1.94,2.05,-3.1
430,66.53,62.22,-1.33,3.13,-1.37
431,66.06,61.61,-1.92,5.07,-2.36
432,64.49,60.42,0.2,5.84,0.46
433,64.54,64.04,0.47,3.26,-0.16
434,65.79,62.71,1.43,2.87,1.7
435,65.24,64.21,-1.83,3.62,-0.01
436,64.74,58.5,0.04,4.57,0.27
437,64.45,71.26,-0.53,6.05,0.72
438,63.94,68.45,0.58,2.66,0.69
439,64.28,57.11,0.62,4.01,1.3
440,65.35,62.97,-0.89,3.21,-1.24
441,64.61,65.24,1.7,4.42,-0.23
442,64.78,62.42,0.39,5.13,-0.11
443,63.62,64.49,2.1,3.85,2.36
444,64.92,56.44,-0.02,4.36,-0.09
445,66.05,65.23,-1.73,5.35,-0.59
446,64.79,63.42,-0.26,3.42,0.24
447,66.2,61.66,0.4,5.39,0.52
448,62.65,57.48,0.85,2.95,2.23
449,65.4,67.17,-0.64,3.27,-1.44
450,64.66,59.24,-0.72,4.11,-0.74
451,64.22,69.91,-0.35,2.93,1.83
452,64.66,65.42,-1.11,4.33,-1.27
453,65.09,64.49,-1.23,4.78,0.0
454,64.12,63.24,1.38,4.11,-0.23
455,62.09,56.69,1.48,2.69,0.82
456,65.75,58.66,0.13,4.45,0.42
457,64.61,62.34,-0.62,2.77,-1.87
458,64.66,61.57,0.05,5.01,-1.94
459,65.4,66.55,-1.2,4.74,-0.55
460,65.66,60.85,-0.59,1.31,-0.15
461,65.21,54.99,-0.57,2.13,-0.52
462,63.63,61.38,0.65,6.15,0.29
463,64.61,64.26,-0.45,3.51,1.04
464,63.85,63.7,1.0,3.79,0.56
465,64.14,63.23,3.4,4.82,1.18
466,64.99,61.17,-0.41,5.04,0.34
467,64.73,55.39,-0.88,3.39,-0.7
468,63.95,66.84,3.15,3.94,0.29
469,64.55,59.38,-1.0,4.31,-0.3
470,65.13,53.04,-0.35,3.38,-0.12
471,66.67,57.72,-0.63,4.33,-0.62
472,65.2,62.71,-0.29,5.4,-2.55
473,66.26,60.07,-1.6,3.36,-3.01
474,65.77,60.69,-0.22,3.67,0.39
475,65.67,69.5,-0.67,4.15,-0.98
476,64.69,67.22,-0.6,3.61,-0.28
477,66.45,64.71,-1.33,2.89,-1.46
478,64.97,60.16,0.43,4.85,-0.83
479,65.73,58.15,-1.4,5.43,-0.83
480,64.5,60.71,-0.32,4.53,0.92
481,64.48,63.22,-0.21,3.04,-0.88
482,65.32,61.16,1.04,3.7,0.7
483,66.09,68.18,-1.43,2.76,0.0
484,65.82,68.53,-1.71,5.55,-0.61
485,65.97,62.78,-3.27,3.7,0.91
486,65.25,59.14,0.13,2.48,0.61
487,64.81,65.95,-0.61,4.81,-2.35
488,64.54,60.34,-2.04,2.92,-1.42
489,65.18,65.28,-0.43,5.74,0.15
490,66.96,66.72,-0.06,4.88,-0.41
491,65.59,68.59,-1.61,4.41,-2.05
492,64.53,59.2,-0.35,2.8,0.55
493,64.79,61.33,-3.26,4.59,0.16
494,65.75,68.76,-1.19,4.41,-0.22
495,64.9,56.35,0.98,3.85,-0.05
496,64.08,62.46,0.05,5.36,-1.34
497,65.48,64.75,-1.3,5.86,-1.8
498,64.06,60.49,0.39,3.22,-1.76
499,64.19,71.41,-0.09,5.55,0.89
500,65.12,64.25,-0.51,4.4,0.36
501,65.76,61.1,0.04,5.34,-1.42
502,61.84,65.17,0.3,5.31,1.7
503,65.66,64.9,-1.07,4.83,-0.55
504,65.14,64.34,0.4,3.72,0.77
505,65.57,65.84,-1.37,2.61,0.24
506,67.49,60.24,0.62,1.95,1.89
507,64.71,62.11,-1.12,5.84,-1.86
508,64.02,65.43,1.24,4.08,0.15
509,64.81,59.94,-0.1,4.26,0.79
510,64.96,69.1,-1.03,4.04,-0.98
511,63.98,66.56,1.16,5.09,0.37
512,63.82,60.62,-0.14,5.21,-0.86
513,65.72,69.07,-1.0,5.52,-2.43
514,64.02,59.92,-0.02,3.1,0.29
515,65.97,66.4,-1.83,3.86,-1.77
516,65.77,66.88,-0.63,5.44,-1.45
517,67.02,66.91,-1.49,4.33,-1.91
518,66.6,62.33,-1.61,3.96,-0.91
519,63.48,68.21,1.33,5.78,1.72
520,65.07,56.65,0.22,5.81,-0.52
521,64.4,65.75,0.92,3.6,1.04
522,64.19,68.61,0.1,2.62,0.45
523,65.35,56.41,-0.13,6.23,-2.02
524,64.69,57.23,-0.79,3.77,-1.87
525,65.52,68.93,-0.67,3.14,0.43
526,64.3,62.45,-1.15,4.02,-1.85
527,65.02,64.35,-1.28,4.3,-0.37
528,64.56,61.18,-1.24,4.63,-0.53
529,65.38,60.6,-0.4,3.07,0.99
530,66.74,54.31,-2.15,4.27,-0.94
531,65.14,65.7,0.36,5.93,-2.07
532,63.61,62.06,0.16,3.47,1.12
533,64.1,63.24,0.43,3.14,0.09
534,64.98,62.14,-1.03,5.98,-1.57
535,64.82,65.29,-2.84,4.03,-2.34
536,63.93,64.21,1.62,3.39,1.19
537,65.96,58.62,0.66,4.61,0.41
538,66.48,63.33,-1.72,3.99,-0.27
539,62.73,65.78,0.94,5.13,1.01
540,64.98,63.82,-1.26,3.56,0.01
541,66.0,61.64,-0.69,3.36,-0.16
542,63.85,65.03,1.99,3.86,-1.15
543,64.47,54.79,-0.03,4.14,-0.04
544,64.23,63.71,-0.29,3.66,-0.35
545,64.92,61.15,-1.72,2.68,0.78
546,64.98,69.17,-1.61,1.34,-1.54
547,65.62,68.14,-2.36,3.96,-0.62
548,65.51,65.11,-1.76,5.26,0.79
549,68.39,55.41,1.14,5.41,1.35
550,66.64,66.98,-2.68,2.06,-0.97
551,65.76,60.71,-1.02,4.05,-0.02
552,64.41,61.09,-1.11,5.13,-2.52
553,64.33,60.61,0.85,3.13,2.01
554,63.82,56.85,-0.71,5.62,-0.64
555,64.66,58.27,-0.2,3.57,2.25
556,66.11,65.33,-0.12,6.07,1.74
557,66.49,67.9,-0.24,3.94,1.18
558,66.42,63.08,-1.0,3.54,-2.09
559,64.73,65.35,-1.43,5.69,-1.0
560,64.35,67.47,1.53,4.17,2.43
561,65.42,57.56,-1.02,4.45,-0.33
562,65.45,57.1,-0.45,3.43,0.31
563,66.74,65.28,-1.45,3.15,-0.81
564,66.21,60.0,0.41,3.16,-0.25
565,64.38,63.1,-1.81,4.7,-1.42
566,65.94,68.63,-0.96,4.71,-0.58
567,64.92,66.98,-0.54,4.62,1.3
568,65.77,49.31,-0.44,5.12,-0.05
569,64.03,61.09,-2.47,3.34,-1.85
570,65.81,66.15,0.66,5.49,0.88
571,62.3,62.82,0.48,2.48,0.58
572,64.25,65.26,-2.96,2.3,-0.41
573,66.32,60.2,1.01,4.68,0.94
574,64.78,66.12,-0.97,5.09,-2.59
575,65.92,59.08,-2.07,6.7,-0.27
576,64.9,64.89,-0.28,5.08,1.4
577,63.88,61.93,0.89,2.89,0.73
578,65.57,65.1,-0.69,4.88,-1.1
579,65.16,55.52,-2.31,3.07,1.43
580,64.77,62.93,-1.33,4.81,0.2
581,65.08,69.69,-2.15,4.98,-0.62
582,64.86,63.91,-0.87,4.1,-0.32
583,64.85,61.1,1.67,4.13,0.02
584,64.38,66.1,0.55,5.71,-0.8
585,66.59,63.2,-0.29,3.54,0.75
586,64.83,63.85,-1.62,4.69,-0.03
587,64.65,63.27,0.16,3.39,-0.32
588,63.35,63.03,0.15,4.33,0.71
589,67.33,67.76,0.57,3.01,1.92
590,65.93,65.62,1.36,2.88,0.24
591,64.36,60.71,-0.24,3.92,-0.38
592,64.99,63.77,-0.96,4.44,-0.06
593,65.2,59.66,-1.02,3.76,0.07
594,65.98,55.85,-2.33,4.54,-0.82
595,66.43,64.49,-1.1,4.86,-0.38
596,65.76,62.14,-0.82,5.13,-0.06
597,64.91,60.97,-0.57,4.75,-1.14
598,64.68,58.47,1.1,5.61,1.18
599,65.15,71.79,-2.97,4.48,0.96
600,64.82,57.0,1.33,3.75,-0.08
