,0,1,2,3,4,5,6,7,8
102,67.01,2.99,7.4,9.25,101.11,7.7,5.33,4494.97,270.29
103,67.76,2.42,7.19,10.91,136.86,4.78,1.49,4594.77,269.51
104,68.9,4.93,7.95,8.72,92.07,9.07,6.86,4757.2,288.5
105,65.21,5.12,8.05,9.15,103.41,6.19,6.44,4261.84,279.27
106,72.88,5.6,8.55,8.19,84.71,9.88,1.83,5323.99,245.9
107,66.6,5.43,8.17,8.96,101.83,7.73,6.91,4445.62,289.96
108,61.39,4.05,8.08,7.14,66.81,6.84,11.33,3778.49,324.11
109,69.97,3.0,8.62,9.02,100.31,8.11,4.81,4901.79,270.11
110,63.57,5.26,9.2,7.97,81.84,10.2,2.8,4053.54,227.46
111,66.21,4.7,10.15,7.34,72.72,7.28,8.47,4395.96,279.73
112,64.33,3.04,9.66,7.19,69.4,10.24,3.63,4144.72,222.11
113,68.01,3.52,8.34,7.92,81.33,9.26,5.13,4635.09,250.01
114,68.4,5.56,8.05,5.91,53.79,9.41,3.83,4688.9,217.65
115,66.12,1.82,7.64,5.35,43.92,8.84,5.25,4374.22,208.24
116,59.82,2.92,8.52,6.89,63.09,10.01,6.4,3582.39,230.8
117,66.44,4.71,8.56,9.8,116.88,7.37,4.91,4420.64,275.73
118,70.8,4.09,8.23,8.71,96.45,6.49,5.9,5019.24,274.92
119,61.74,4.75,7.84,7.87,79.25,6.83,9.13,3824.26,292.63
120,71.62,3.16,8.19,7.36,73.05,9.68,4.12,5135.33,237.5
121,67.86,4.09,9.08,8.55,90.96,9.78,8.51,4613.65,309.86
122,62.92,5.42,7.25,7.29,69.56,11.25,3.94,3973.97,227.26
123,63.94,3.42,8.05,9.76,111.72,7.22,5.62,4099.04,274.99
124,73.96,3.12,9.09,8.14,85.48,8.39,4.29,5476.23,257.53
125,62.47,6.51,7.32,8.07,84.29,6.98,7.13,3916.97,267.04
126,67.98,5.43,8.15,9.77,115.37,8.54,4.77,4630.54,282.51
127,70.3,4.85,8.52,10.15,119.21,6.63,6.21,4952.27,302.21
128,64.58,4.92,8.22,6.66,61.61,11.79,9.93,4182.48,304.66
129,65.69,4.51,7.61,8.45,85.92,11.61,8.18,4328.18,304.94
130,65.39,3.63,8.42,6.62,61.33,9.87,3.43,4284.08,213.21
131,65.82,4.16,7.52,7.68,75.3,12.11,7.21,4344.57,276.94
132,62.93,2.59,7.71,8.22,82.87,9.23,1.47,3972.26,217.49
133,64.62,3.5,7.77,8.06,79.49,6.12,7.93,4183.45,274.14
134,63.84,5.66,8.36,8.28,84.61,8.86,6.45,4091.05,265.67
135,62.8,3.3,7.82,5.07,42.41,7.86,2.77,3947.76,180.47
136,60.99,2.84,6.59,7.13,66.09,8.07,2.61,3726.65,201.69
137,70.85,4.19,8.47,7.73,77.88,7.8,4.52,5029.89,248.04
138,70.18,4.59,6.92,9.25,99.75,4.57,6.22,4935.14,284.75
139,65.87,4.26,6.95,7.68,75.76,7.66,2.3,4344.35,219.99
140,67.7,3.47,7.98,6.94,66.35,8.41,7.69,4592.98,267.54
141,70.79,5.3,8.09,7.4,74.66,10.65,4.46,5018.95,249.95
142,68.17,4.94,7.73,9.11,99.25,9.33,3.04,4653.27,255.03
143,70.25,3.76,7.22,8.07,81.08,8.12,6.66,4941.76,275.3
144,71.21,4.07,6.71,7.76,76.0,10.78,5.83,5082.77,264.58
145,62.36,3.38,9.73,9.2,110.05,6.81,3.93,3895.47,245.83
146,66.8,3.76,9.2,8.58,93.12,8.5,5.99,4470.29,268.49
147,65.43,3.72,6.9,8.44,84.98,1.85,4.75,4288.15,238.46
148,70.81,4.22,8.77,9.91,120.85,8.22,4.03,5021.29,282.43
149,66.9,3.82,7.94,9.5,110.53,1.74,8.42,4488.53,305.35
150,66.93,2.69,7.66,9.98,116.27,5.87,6.1,4482.92,290.16
151,62.08,5.63,7.57,9.03,99.12,7.57,3.71,3866.3,248.43
152,66.42,5.0,7.74,9.03,98.3,5.41,9.35,4422.36,323.08
153,65.13,2.24,7.52,9.69,111.3,3.92,3.86,4247.98,247.08
154,64.26,5.03,8.28,8.53,91.98,4.38,8.27,4139.3,285.92
155,68.64,4.99,7.93,8.23,87.2,8.35,4.7,4720.19,253.96
156,69.27,2.78,7.5,7.68,74.63,8.57,2.31,4811.07,224.66
157,65.31,4.23,7.72,7.2,69.53,8.01,5.67,4277.77,241.34
158,67.45,5.28,9.28,8.69,98.64,6.55,3.95,4557.38,249.53
159,68.67,4.43,7.3,9.3,101.22,8.06,4.28,4724.96,266.05
160,58.93,4.58,7.1,7.4,70.15,9.86,4.36,3483.1,218.98
161,69.51,3.68,9.14,7.18,69.73,9.52,6.16,4839.7,258.06
162,76.21,4.83,9.82,7.28,72.03,7.43,5.22,5817.44,260.43
163,58.88,4.89,7.34,6.14,53.07,5.71,6.82,3474.84,222.75
164,66.29,4.91,8.67,7.6,76.58,10.24,6.11,4405.73,254.8
165,64.7,5.85,10.9,8.16,89.78,8.38,6.07,4197.88,260.43
166,68.72,4.71,5.66,7.31,69.06,9.57,2.77,4736.33,223.28
167,58.76,3.74,8.26,8.03,79.62,4.07,2.63,3460.33,201.55
168,64.83,6.22,9.24,10.54,132.89,11.85,8.18,4211.28,342.86
169,64.86,3.64,6.63,8.01,78.13,5.95,4.61,4218.09,232.38
170,71.1,4.46,8.13,9.14,103.88,5.87,7.42,5065.9,300.41
171,64.35,2.81,7.89,9.93,115.81,4.2,4.39,4146.43,261.97
172,58.78,4.01,7.73,9.33,103.65,4.36,7.8,3465.7,286.63
173,64.5,5.56,9.96,7.54,77.71,7.34,7.01,4172.83,259.98
174,63.81,4.72,8.4,9.92,114.39,4.9,7.48,4081.93,302.14
175,65.71,2.63,7.64,7.16,68.11,10.02,1.59,4326.6,210.63
176,65.66,3.35,7.57,7.47,75.28,8.31,2.53,4319.7,215.24
177,67.01,3.68,7.48,8.36,86.43,7.89,4.3,4498.27,247.12
178,66.96,6.63,9.17,9.16,106.24,4.85,6.4,4497.69,283.39
179,66.79,4.68,9.86,7.74,78.34,7.17,3.55,4472.79,227.38
180,60.58,2.59,9.47,6.85,69.15,8.8,5.33,3671.29,219.59
181,67.44,4.83,7.11,9.76,113.5,7.5,3.71,4555.44,268.63
182,70.12,5.1,8.15,7.5,72.22,11.31,9.48,4924.79,319.51
183,69.52,3.02,7.59,9.7,112.81,10.46,2.84,4839.91,267.2
184,66.19,4.68,7.03,9.21,100.83,6.61,9.42,4391.3,325.64
185,70.87,5.45,6.21,9.38,101.66,4.9,4.66,5032.31,274.7
186,69.26,4.93,9.08,8.33,91.1,8.75,5.79,4809.42,266.58
187,70.05,5.3,6.29,8.97,96.6,6.49,8.19,4919.32,313.43
188,66.75,2.88,7.53,8.18,85.64,6.25,10.93,4460.54,334.46
189,65.41,4.48,10.54,7.61,78.68,8.09,6.26,4286.94,253.01
190,71.08,5.08,8.34,8.54,93.98,8.28,6.2,5065.99,278.02
191,62.55,4.35,7.55,8.85,94.53,6.16,2.67,3919.88,231.11
192,67.83,2.13,9.15,9.36,105.73,7.3,7.77,4604.89,304.35
193,67.08,4.96,6.76,9.25,99.47,8.42,2.8,4510.24,249.99
194,62.44,3.34,7.75,7.74,77.8,5.94,6.43,3902.92,247.79
195,67.97,3.6,6.81,7.25,68.38,9.59,5.72,4624.11,249.2
196,77.27,4.44,9.83,9.76,113.88,9.41,4.13,5980.9,295.23
197,73.79,4.66,8.33,7.76,77.26,9.68,7.88,5454.34,292.15
198,67.75,3.26,7.9,7.58,74.21,7.81,6.42,4596.63,258.15
199,59.86,4.7,8.94,8.0,84.07,7.18,7.19,3594.15,255.82
200,69.17,4.01,8.62,8.9,100.08,9.01,6.63,4797.79,286.08
201,69.0,5.4,9.03,8.94,99.4,7.75,5.09,4772.23,269.01
202,71.2,3.54,9.12,7.96,83.26,9.45,4.65,5081.45,253.51
203,67.49,3.86,6.92,7.93,76.92,4.66,8.92,4566.21,294.38
204,65.49,5.81,8.1,11.02,139.23,8.62,8.87,4299.28,358.73
205,64.81,3.29,7.08,6.83,64.93,8.78,5.17,4207.62,228.61
206,67.41,3.54,6.88,7.06,65.22,8.89,6.85,4550.26,255.37
207,65.9,5.24,7.11,6.82,62.89,13.02,5.17,4351.86,242.86
208,63.23,3.27,8.03,7.48,74.53,10.67,4.33,4004.27,230.42
209,65.21,2.95,8.09,7.85,80.8,6.71,9.74,4257.94,303.51
210,61.02,3.67,7.3,9.39,104.54,4.69,4.49,3729.76,247.19
211,72.21,4.95,7.55,8.19,84.07,9.32,6.51,5226.68,281.27
212,75.11,4.58,9.41,8.93,100.88,11.08,8.87,5655.01,336.97
213,67.42,3.11,8.73,7.24,71.33,9.11,5.12,4553.39,236.19
214,59.52,4.02,6.76,6.67,61.84,7.92,4.71,3550.75,210.5
215,66.77,4.73,8.71,6.46,62.19,8.07,0.49,4469.08,199.61
216,57.7,4.89,8.48,8.16,85.69,3.71,4.15,3336.23,213.21
217,70.25,6.17,8.53,8.34,89.0,10.8,7.11,4947.4,295.59
218,65.42,3.56,7.94,7.92,78.28,7.24,6.32,4287.3,253.2
219,64.97,5.06,7.82,8.24,83.41,8.97,7.41,4234.61,279.15
220,61.96,4.15,6.33,8.34,85.43,6.62,3.9,3846.63,230.99
221,67.92,2.37,7.86,9.63,112.2,9.25,5.21,4619.84,278.07
222,66.26,3.39,9.1,10.13,122.36,7.39,6.76,4397.16,304.03
223,67.01,3.02,6.95,7.92,76.46,7.3,5.86,4496.18,251.14
224,61.78,4.34,7.84,7.89,80.32,8.1,5.95,3822.9,245.85
225,69.13,3.75,8.38,8.61,92.01,4.97,6.7,4788.25,277.11
226,63.86,3.37,8.11,7.41,73.25,8.39,6.39,4085.48,248.42
227,65.57,3.22,8.51,9.15,100.74,6.89,5.16,4304.48,261.3
228,70.89,4.7,8.29,8.52,91.35,6.08,8.53,5037.46,311.55
229,65.23,4.15,7.04,7.98,78.07,6.03,10.43,4265.25,322.65
230,64.06,3.73,5.41,9.94,109.37,7.15,7.71,4112.16,301.45
231,71.23,4.72,8.0,9.66,114.49,6.07,5.03,5083.71,286.06
232,66.3,5.46,9.54,6.4,63.49,11.33,7.2,4405.3,258.02
233,64.92,4.06,6.23,8.58,89.48,9.48,4.54,4222.22,251.36
234,58.73,3.2,8.98,6.92,65.66,7.73,3.61,3458.3,207.08
235,64.7,1.72,8.21,5.49,49.41,10.78,3.46,4188.97,195.95
236,70.7,4.82,9.41,8.13,87.92,10.77,4.89,5008.35,265.33
237,67.95,5.53,8.13,8.77,95.83,8.94,4.89,4624.71,267.46
238,64.48,4.43,7.19,8.59,91.4,7.38,7.21,4165.85,276.0
239,65.87,4.55,10.03,9.4,111.53,5.34,6.21,4348.95,277.55
240,64.63,2.73,10.15,8.09,91.83,4.72,6.04,4183.21,243.85
241,70.9,4.23,10.58,8.07,89.31,8.69,5.59,5032.42,262.97
242,62.3,5.07,8.0,6.0,55.45,12.02,4.09,3891.22,213.01
243,65.44,3.92,8.78,6.89,65.44,8.84,5.28,4288.07,225.89
244,68.51,4.98,7.05,8.29,84.01,6.92,8.12,4710.27,291.84
245,74.25,5.34,8.92,9.01,100.98,4.97,2.1,5522.22,252.55
246,66.51,4.26,8.22,7.68,77.4,5.85,4.85,4431.99,237.41
247,63.04,3.39,7.99,9.58,110.79,4.32,11.74,3976.99,372.23
248,62.94,3.36,7.52,8.98,97.82,5.77,3.64,3966.83,239.08
249,66.87,4.64,7.96,9.36,104.4,10.19,1.71,4481.12,257.14
250,66.15,5.0,9.21,8.26,92.2,5.32,7.69,4390.26,280.4
251,56.59,2.96,6.71,7.34,69.1,6.94,5.99,3208.37,221.65
252,64.89,3.17,7.69,8.58,92.5,8.04,3.87,4219.13,243.39
253,64.21,4.03,7.87,7.8,76.34,7.16,6.86,4133.3,257.71
254,64.93,3.84,9.33,9.51,111.23,8.08,3.81,4223.76,259.0
255,67.43,3.78,7.94,6.15,53.12,11.06,6.95,4551.88,246.35
256,73.24,4.61,7.37,9.61,108.05,9.79,2.54,5369.8,278.68
257,67.67,4.38,8.09,5.72,50.11,10.22,1.64,4583.63,197.73
258,60.61,6.09,9.07,8.8,97.6,6.36,8.01,3688.72,288.48
259,59.52,3.55,9.07,7.63,78.0,4.61,3.12,3552.73,206.61
260,63.57,2.61,8.06,8.41,87.24,8.32,5.22,4048.79,248.22
261,65.62,4.66,8.06,7.93,82.21,3.56,6.25,4319.62,246.98
262,67.5,2.8,10.45,8.49,94.64,10.07,4.92,4561.35,259.45
263,58.37,4.01,7.66,7.26,68.58,10.05,4.31,3415.52,215.88
264,65.91,3.54,10.08,8.94,103.33,4.35,4.22,4353.8,246.74
265,71.69,3.33,7.66,8.19,82.16,9.31,7.58,5148.74,291.15
266,64.83,4.22,6.07,6.84,62.51,11.06,3.19,4211.95,214.88
267,63.88,4.49,7.5,8.26,88.51,11.14,4.05,4090.77,245.11
268,68.25,4.04,7.74,7.66,77.79,9.56,1.98,4665.37,227.86
269,65.67,3.01,9.42,8.5,91.03,7.13,5.01,4320.04,253.27
270,59.22,4.15,6.4,6.18,55.73,9.95,3.88,3517.69,198.47
271,62.97,2.18,9.01,8.53,91.0,2.09,3.41,3970.74,217.98
272,66.44,4.47,8.51,7.25,71.12,5.31,2.67,4427.71,210.7
273,64.47,5.84,7.1,7.47,72.48,7.39,6.19,4166.62,251.68
274,69.54,4.78,7.73,8.13,83.54,3.19,3.08,4843.96,229.16
275,66.55,5.97,8.76,10.42,129.93,5.16,5.98,4439.46,301.15
276,69.39,4.49,9.22,8.21,86.82,10.95,6.18,4823.68,275.65
277,69.22,2.8,6.42,9.35,100.46,8.09,5.68,4797.33,278.85
278,68.16,3.67,8.3,7.88,78.21,8.48,4.6,4651.88,243.86
279,64.08,3.66,9.2,8.4,91.28,4.1,3.42,4116.26,225.06
280,70.22,5.3,8.2,7.66,79.46,6.58,7.77,4946.53,283.22
281,71.59,2.48,8.11,8.44,87.98,8.56,2.61,5131.52,240.35
282,66.26,5.61,8.35,8.87,95.7,9.79,8.3,4403.11,308.23
283,71.51,5.12,9.84,7.86,84.78,8.25,2.95,5128.45,243.84
284,62.94,3.68,9.34,8.75,97.4,8.72,1.75,3967.4,230.31
285,64.08,4.7,8.04,7.92,79.21,8.87,6.27,4116.51,257.66
286,64.06,4.38,9.6,8.45,95.58,7.82,3.16,4111.57,234.4
287,58.88,4.46,6.7,9.32,100.66,8.77,5.39,3475.84,259.2
288,63.22,3.26,8.52,6.06,56.59,12.36,9.74,4004.61,290.74
289,64.53,4.6,7.9,7.53,73.95,8.95,2.7,4173.76,222.57
290,68.5,5.03,8.92,9.22,104.13,4.66,7.07,4703.39,291.7
291,69.85,4.76,6.97,8.45,87.82,9.68,2.05,4890.2,244.66
292,60.81,4.51,7.45,8.02,80.04,9.37,5.42,3708.29,242.2
293,59.17,2.48,9.2,7.4,76.01,6.53,4.23,3506.03,213.25
294,61.44,3.06,6.17,7.91,77.97,5.56,4.99,3782.82,226.49
295,68.93,4.58,8.49,10.25,123.63,7.64,7.42,4762.23,324.97
296,59.52,4.12,9.07,9.62,113.32,8.68,6.63,3550.47,282.29
297,69.84,5.9,9.4,8.23,90.52,7.34,6.57,4891.48,281.25
298,70.86,3.76,8.23,7.55,73.85,12.26,8.5,5028.28,304.02
299,69.64,4.31,7.75,7.86,79.32,11.72,2.78,4858.3,244.04
300,65.88,2.73,7.69,6.91,65.29,9.48,6.19,4349.23,240.86
301,67.31,4.33,8.33,7.57,75.15,12.68,8.41,4540.57,297.47
302,72.6,4.75,9.04,7.68,78.87,7.71,4.62,5279.64,250.79
303,61.83,4.02,8.49,7.37,73.94,9.11,6.53,3830.49,250.31
304,68.0,3.74,8.06,7.53,74.07,11.88,7.81,4636.59,285.87
305,69.28,2.53,7.92,8.52,86.81,8.81,2.63,4804.55,243.27
306,67.88,2.91,10.51,5.19,50.47,9.3,4.54,4607.69,209.08
307,67.42,5.58,8.85,6.37,60.84,9.91,6.16,4555.35,241.24
308,64.87,4.16,8.3,8.5,92.19,6.24,2.06,4214.43,226.39
309,71.45,4.25,10.17,8.38,92.24,7.67,4.68,5113.14,256.55
310,67.35,6.58,8.62,9.08,102.26,8.5,4.2,4547.55,269.0
311,64.08,2.41,7.28,8.87,94.32,8.79,4.9,4110.35,252.13
312,62.01,3.65,8.72,8.99,101.85,4.47,5.58,3850.77,252.92
313,54.12,4.47,7.5,6.75,62.38,9.4,5.62,2938.18,212.49
314,68.28,3.92,8.17,7.44,72.43,4.78,-1.14,4670.62,211.51
315,68.58,4.24,9.83,7.11,70.89,9.06,5.56,4713.32,247.16
316,64.79,5.57,8.59,7.78,81.19,9.75,3.59,4209.18,236.73
317,65.35,5.28,8.25,8.24,84.71,6.0,8.98,4281.87,301.4
318,65.78,4.26,9.8,8.3,89.13,8.76,6.53,4340.78,268.8
319,62.46,5.51,8.33,6.89,66.14,6.98,5.39,3908.76,220.64
320,69.07,6.12,8.24,8.27,87.95,7.36,7.76,4784.5,292.16
321,64.82,4.82,9.76,8.55,93.13,8.2,6.42,4212.86,269.84
322,65.37,3.32,7.77,6.86,62.29,9.02,5.16,4279.53,228.45
323,60.03,3.53,9.24,7.17,69.08,9.15,5.44,3609.89,225.03
324,65.36,4.77,7.84,8.91,97.5,6.91,5.08,4280.24,257.05
325,61.2,6.47,6.5,6.4,55.22,5.56,6.26,3757.92,226.56
326,67.28,3.88,7.78,8.27,88.6,9.4,5.23,4534.2,256.71
327,65.31,4.21,6.85,7.55,73.34,8.96,7.14,4273.42,259.83
328,70.11,4.1,7.81,9.41,103.99,9.31,5.23,4922.57,284.33
329,68.25,4.64,8.09,7.84,81.19,10.51,3.47,4672.68,243.1
330,63.57,4.76,8.42,8.48,88.16,10.11,6.55,4052.11,267.78
331,61.84,3.54,7.85,7.64,77.23,8.11,4.13,3831.28,222.67
332,70.59,3.11,7.76,8.18,83.62,8.35,9.19,4991.12,312.76
333,67.76,2.95,8.76,9.1,102.42,7.21,10.62,4595.2,353.41
334,61.15,5.0,8.19,8.53,92.16,7.92,6.56,3751.64,261.53
335,62.83,4.36,7.51,9.04,96.22,8.46,4.25,3954.58,245.26
336,69.41,5.08,7.43,7.32,71.52,6.32,6.63,4826.99,254.22
337,67.56,2.71,6.47,10.31,123.76,4.75,8.86,4569.97,339.79
338,68.11,2.01,8.44,7.68,79.22,5.04,6.91,4648.0,257.79
339,68.77,4.54,9.14,8.59,94.29,12.56,7.02,4739.81,291.85
340,65.66,5.52,9.03,8.13,85.75,7.9,4.21,4323.06,242.55
341,67.6,3.0,7.0,9.58,108.33,7.15,2.46,4574.96,251.49
342,71.98,5.6,9.1,7.04,71.19,7.15,4.64,5189.56,240.96
343,65.75,3.84,7.74,5.73,50.31,8.99,0.61,4332.86,189.3
344,65.18,4.19,7.88,8.35,86.27,7.3,6.74,4260.23,269.95
345,62.85,4.88,8.65,7.91,82.18,10.54,6.9,3960.01,265.51
346,57.01,3.39,6.48,6.46,57.19,8.84,6.97,3257.21,228.36
347,68.37,4.47,8.06,8.36,85.61,6.61,6.68,4685.23,273.43
348,68.85,2.59,7.31,8.69,91.68,7.93,4.67,4745.96,258.72
349,64.21,2.95,8.86,8.75,97.74,6.19,6.99,4130.28,270.43
350,61.39,3.19,8.73,6.31,59.98,7.04,6.77,3773.68,230.79
351,63.98,3.3,9.31,8.58,92.19,10.77,6.11,4094.19,268.09
352,64.28,3.66,9.19,9.66,114.07,7.48,4.95,4138.0,269.36
353,64.73,5.7,9.07,8.71,96.79,5.05,5.98,4200.05,264.86
354,61.55,3.51,4.97,8.55,85.94,9.68,5.02,3794.81,244.3
355,63.05,4.94,8.2,6.21,58.73,6.22,6.47,3984.82,227.23
356,70.76,5.2,7.65,6.05,56.16,9.59,3.61,5014.01,220.18
